Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,18,Lazio,itITA,1.Serie A,25.0,"1,373",5.0,3.0,,,,,8.0,594.0,1.0,3.0,33,"1,967",6,6,14.0,"1,373",15.3,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,,,,,,,,0.33,0.2,0.52,0.33,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,27.0,,,1.77,,0.19,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,373",55.0,40.1,15.3,14.0,,7.0,11.0,,,,,,,,,,,,,,2.0,0.0,,32.0,,,,,,,,,,,,,"€ 20,385(£ 17,707, $22,341)","€ 1,060,000(£ 920,742, $1,161,737)",Estimación no verificada,https://fbref.com/es/jugadores/509a4ccb/Keita-Balde
2014-2015,19,Lazio,itITA,1.Serie A,23.0,797,1.0,0.0,6.0,394.0,3.0,0.0,,,,,29,"1,191",4,0,6.0,797,8.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,0.11,0.0,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,16.0,,,1.81,,0.06,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,797,35.0,23.3,8.9,6.0,,1.0,17.0,,10.0,1.7,12.0,10.0,2.0,0.23,-0.84,,,,,,3.0,0.0,,17.0,,,,,,,,,,,,,"€ 77,500(£ 67,318, $84,938)","€ 4,030,000(£ 3,500,557, $4,416,792)",Estimación no verificada,https://fbref.com/es/jugadores/509a4ccb/Keita-Balde
2015-2016,20,Lazio,itITA,1.Serie A,31.0,"1,777",4.0,2.0,1.0,90.0,0.0,0.0,5.0,321.0,0.0,0.0,37,"2,188",4,2,15.0,"1,777",19.7,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0,,,,,,,,0.2,0.1,0.3,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,27.0,,,1.37,,0.15,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,777",57.0,52.0,19.7,15.0,,11.0,16.0,,2.0,1.48,33.0,29.0,4.0,0.2,0.42,,,,,,5.0,0.0,,26.0,,,,,,,,,,,,,"€ 106,923(£ 92,876, $117,185)","€ 5,560,000(£ 4,829,553, $6,093,639)",Estimación no verificada,https://fbref.com/es/jugadores/509a4ccb/Keita-Balde
2016-2017,21,Lazio,itITA,1.Serie A,31.0,"1,926",16.0,4.0,3.0,148.0,0.0,1.0,,,,,34,"2,074",16,5,21.0,"1,926",21.4,16.0,4.0,20.0,14.0,2.0,2.0,6.0,1.0,,,,,,,,0.75,0.19,0.93,0.65,0.84,,,,,,,11.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,70.0,29.0,41.4,3.27,1.36,0.2,0.48,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,"1,926",62.0,56.3,21.4,21.0,,5.0,10.0,,0.0,1.97,54.0,27.0,27.0,1.26,1.5,,,,,,6.0,1.0,1.0,22.0,53.0,19.0,65.0,5.0,11.0,2.0,1.0,0.0,,,,,"€ 76,923(£ 66,817, $84,306)","€ 4,000,000(£ 3,474,498, $4,383,913)",Estimación no verificada,https://fbref.com/es/jugadores/509a4ccb/Keita-Balde
2017-2018,22,Monaco,frFRA,1.Ligue 1,23.0,"1,473",8.0,5.0,4.0,236.0,0.0,4.0,6.0,289.0,0.0,2.0,33,"1,998",8,11,19.0,"1,473",16.4,8.0,5.0,13.0,8.0,0.0,0.0,3.0,1.0,5.4,5.4,2.3,7.8,57.0,32.0,139.0,0.49,0.31,0.79,0.49,0.79,0.33,0.14,0.47,0.33,0.47,12.0,8.0,5.0,6.0,1.0,1.0,11.0,9.1,10.0,10.0,1.0,9.0,6.0,18.0,5.0,0.0,278.0,392.0,70.9,3730.0,777.0,168.0,214.0,78.5,84.0,110.0,76.4,9.0,23.0,39.1,5.0,2.3,1.3,2.7,15.0,16.0,13.0,6.0,32.0,392.0,380.0,10.0,2.0,2.0,1.0,39.0,4.0,0.0,0.0,0.0,0.0,278.0,2.0,23.0,7.0,53.0,239.0,281.0,62.0,563.0,46.0,30.0,65.2,16.0,34.8,386.0,2486.0,1257.0,57.0,31.0,16.0,41.0,27.0,414.0,139.0,8.0,32.0,11.0,34.4,1.96,0.67,0.25,0.73,14.9,0.0,0.0,0.0,5.4,5.4,0.17,2.6,2.6,42.0,2.57,25.0,0.0,11.0,3.0,3.0,0.0,10.0,0.61,5.0,0.0,4.0,1.0,0.0,0.0,"1,473",64.0,43.1,16.4,19.0,73.0,3.0,4.0,22.0,2.0,2.09,36.0,20.0,16.0,0.98,-0.13,22.1,22.5,-0.5,-0.03,-0.69,3.0,1.0,1.0,23.0,27.0,14.0,39.0,6.0,8.0,0.0,0.0,0.0,72.0,15.0,28.0,34.9,"€ 24,615(£ 21,382, $26,978)","€ 1,280,000(£ 1,111,840, $1,402,852)",,https://fbref.com/es/jugadores/509a4ccb/Keita-Balde
2018-2019,23,Inter,itITA,1.Serie A,24.0,889,5.0,2.0,,,,,5.0,166.0,0.0,0.0,29,"1,055",5,2,8.0,889,9.9,5.0,2.0,7.0,5.0,0.0,0.0,2.0,1.0,3.9,3.9,2.2,6.1,57.0,27.0,98.0,0.51,0.2,0.71,0.51,0.71,0.39,0.22,0.61,0.39,0.61,10.0,6.0,4.0,2.0,4.0,2.0,9.0,22.2,7.0,8.0,0.0,8.0,3.0,13.0,1.0,0.0,256.0,340.0,75.3,3416.0,578.0,164.0,182.0,90.1,62.0,82.0,75.6,13.0,29.0,44.8,2.0,2.2,2.3,-0.2,22.0,11.0,17.0,10.0,27.0,340.0,327.0,11.0,4.0,1.0,0.0,52.0,3.0,3.0,1.0,1.0,0.0,256.0,2.0,21.0,3.0,28.0,141.0,289.0,56.0,450.0,34.0,20.0,58.8,14.0,41.2,330.0,2327.0,1132.0,57.0,25.0,19.0,25.0,16.0,368.0,98.0,5.0,30.0,17.0,56.7,3.04,1.72,0.17,0.29,16.9,0.0,0.0,0.0,3.9,3.9,0.13,1.1,1.1,43.0,4.35,31.0,0.0,6.0,2.0,4.0,0.0,5.0,0.51,3.0,0.0,2.0,0.0,0.0,0.0,889,37.0,26.0,9.9,8.0,72.0,1.0,16.0,20.0,7.0,1.96,17.0,5.0,12.0,1.21,0.79,16.3,9.7,6.6,0.67,-0.01,2.0,1.0,1.0,18.0,24.0,8.0,52.0,3.0,6.0,0.0,0.0,0.0,39.0,4.0,10.0,28.6,"€ 19,808(£ 17,205, $21,709)","€ 1,030,000(£ 894,683, $1,128,858)",Estimación no verificada,https://fbref.com/es/jugadores/509a4ccb/Keita-Balde
2018-2019,23,Monaco,frFRA,1.Ligue 1,,,,,1.0,45.0,0.0,0.0,,,,,1,45,0,0,9.0,858,9.5,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,0.7,4.7,27.0,23.0,78.0,0.42,0.1,0.52,0.42,0.52,0.42,0.07,0.49,0.42,0.49,6.0,5.0,1.0,1.0,4.0,3.0,9.0,33.3,6.0,4.0,1.0,3.0,2.0,8.0,7.0,1.0,191.0,285.0,67.0,2462.0,495.0,121.0,158.0,76.6,55.0,79.0,69.6,5.0,19.0,26.3,1.0,0.7,0.5,0.3,6.0,9.0,6.0,1.0,23.0,285.0,267.0,17.0,2.0,0.0,0.0,16.0,5.0,6.0,3.0,0.0,0.0,191.0,1.0,5.0,10.0,40.0,157.0,194.0,45.0,391.0,8.0,5.0,62.5,3.0,37.5,217.0,1183.0,520.0,27.0,14.0,9.0,24.0,10.0,298.0,78.0,4.0,28.0,13.0,46.4,2.94,1.36,0.14,0.31,16.1,0.0,0.0,0.0,4.0,4.0,0.14,0.0,0.0,30.0,3.15,21.0,0.0,2.0,4.0,3.0,0.0,5.0,0.52,3.0,0.0,0.0,1.0,1.0,0.0,858,41.0,34.0,9.5,9.0,75.0,2.0,12.0,15.0,4.0,1.52,17.0,14.0,3.0,0.31,0.48,17.2,15.0,2.2,0.23,0.02,4.0,0.0,0.0,12.0,15.0,5.0,16.0,2.0,5.0,1.0,0.0,0.0,21.0,25.0,35.0,41.7,"€ 10,769(£ 9,257, $12,231)","€ 560,000(£ 481,367, $635,999)",Estimación no verificada,https://fbref.com/es/jugadores/509a4ccb/Keita-Balde
2019-2020,24,Monaco,frFRA,1.Ligue 1,21.0,858,4.0,1.0,5.0,411.0,4.0,0.0,,,,,26,"1,269",8,1,12.0,"1,197",13.3,7.0,1.0,8.0,7.0,0.0,0.0,4.0,1.0,5.7,5.7,2.4,8.1,40.0,26.0,110.0,0.53,0.08,0.6,0.53,0.6,0.42,0.18,0.61,0.42,0.61,9.0,6.0,2.0,6.0,1.0,4.0,10.0,40.0,6.0,10.0,1.0,9.0,0.0,9.0,3.0,0.0,230.0,315.0,73.0,3100.0,526.0,135.0,169.0,79.9,74.0,96.0,77.1,7.0,18.0,38.9,1.0,2.4,1.3,-1.4,21.0,14.0,6.0,0.0,26.0,315.0,292.0,23.0,1.0,0.0,0.0,8.0,2.0,2.0,2.0,0.0,0.0,230.0,0.0,9.0,4.0,21.0,189.0,270.0,83.0,473.0,26.0,16.0,61.5,10.0,38.5,302.0,1847.0,961.0,40.0,26.0,23.0,45.0,15.0,400.0,110.0,7.0,44.0,19.0,43.2,3.31,1.43,0.16,0.37,13.9,0.0,0.0,0.0,5.7,5.7,0.13,1.3,1.3,45.0,3.38,23.0,0.0,6.0,7.0,8.0,1.0,6.0,0.45,1.0,0.0,1.0,1.0,3.0,0.0,"1,197",48.0,35.0,13.3,12.0,76.0,2.0,13.0,22.0,3.0,1.56,17.0,20.0,-3.0,-0.23,-0.27,17.5,18.7,-1.3,-0.1,0.28,4.0,1.0,0.0,32.0,35.0,4.0,8.0,0.0,6.0,1.0,1.0,0.0,25.0,20.0,41.0,32.8,,,,
2020-2021,25,Sampdoria,itITA,1.Serie A,25.0,"1,197",7.0,1.0,1.0,63.0,0.0,0.0,,,,,26,"1,260",7,1,14.0,"1,229",13.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,3.5,3.5,0.6,4.1,14.0,22.0,73.0,0.22,0.07,0.29,0.22,0.29,0.26,0.04,0.3,0.26,0.3,8.0,4.0,1.0,5.0,2.0,1.0,10.0,10.0,9.0,6.0,0.0,6.0,4.0,12.0,6.0,0.0,187.0,260.0,71.9,2522.0,464.0,106.0,128.0,82.8,51.0,74.0,68.9,10.0,13.0,76.9,1.0,0.6,1.2,0.4,10.0,14.0,6.0,0.0,22.0,260.0,248.0,12.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,6.0,6.0,23.0,183.0,209.0,51.0,411.0,18.0,6.0,33.3,12.0,66.7,234.0,977.0,342.0,14.0,12.0,4.0,49.0,10.0,305.0,73.0,3.0,27.0,11.0,40.7,1.98,0.81,0.11,0.27,13.3,0.0,0.0,0.0,3.5,3.5,0.13,-0.5,-0.5,23.0,1.68,14.0,0.0,1.0,4.0,3.0,1.0,2.0,0.15,1.0,0.0,0.0,0.0,1.0,0.0,"1,229",47.0,35.9,13.7,14.0,71.0,1.0,12.0,20.0,3.0,0.58,14.0,23.0,-9.0,-0.66,0.37,15.4,20.7,-5.3,-0.39,0.3,2.0,0.0,0.0,27.0,30.0,9.0,8.0,4.0,4.0,1.0,1.0,0.0,33.0,20.0,46.0,30.3,,,,
2021-2022,26,Cagliari,itITA,1.Serie A,26.0,"1,229",3.0,1.0,,,,,,,,,26,"1,229",3,1,6.0,502,5.6,3.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,,,,,,,,0.54,0.0,0.54,0.54,0.54,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,21.0,12.0,57.1,3.76,2.15,0.14,0.25,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,502,42.0,18.6,5.6,6.0,63.0,0.0,6.0,21.0,2.0,1.17,8.0,7.0,1.0,0.18,-0.68,,,,,,1.0,0.0,0.0,11.0,7.0,3.0,11.0,1.0,4.0,,,0.0,,,,,,,,
